pathway,gene
GO:0000027,Vitvi05_01chr06g04380
GO:0000027,Vitvi05_01chr01g25120
GO:0000027,Vitvi05_01chr18g24300
GO:0000027,Vitvi05_01chr08g11140
GO:0000027,Vitvi05_01chr13g01790
GO:0000027,Vitvi05_01chr07g05230
GO:0000027,Vitvi05_01chr10g10760
GO:0000027,Vitvi05_01chr06g11960
GO:0000027,Vitvi05_01chr08g18310
GO:0000027,Vitvi05_01chr08g18250
GO:0000027,Vitvi05_01chr13g27130
GO:0000027,Vitvi05_01chr05g25790
GO:0000027,Vitvi05_01chr07g30340
GO:0000027,Vitvi05_01chr19g11140
GO:0000149,Vitvi05_01chr05g04740
GO:0000149,Vitvi05_01chr18g04340
GO:0000149,Vitvi05_01chr07g19440
GO:0000149,Vitvi05_01chr04g05180
GO:0000149,Vitvi05_01chr11g05350
GO:0000149,Vitvi05_01chr07g12540
GO:0000149,Vitvi05_01chr04g03200
GO:0000149,Vitvi05_01chr11g12290
GO:0000149,Vitvi05_01chr08g01840
GO:0000149,Vitvi05_01chr07g01520
GO:0000149,Vitvi05_01chr07g01570
GO:0000149,Vitvi05_01chr06g22140
GO:0000149,Vitvi05_01chr07g01360
GO:0000149,Vitvi05_01chr07g01490
GO:0000149,Vitvi05_01chr09g11630
GO:0000149,Vitvi05_01chr05g03910
GO:0000149,Vitvi05_01chr08g02190
GO:0000149,Vitvi05_01chr07g01620
GO:0000149,Vitvi05_01chr09g00760
GO:0000149,Vitvi05_01chr04g22450
GO:0000149,Vitvi05_01chr07g01370
GO:0000149,Vitvi05_01chr07g01340
GO:0000149,Vitvi05_01chr04g06950
GO:0000149,Vitvi05_01chr04g15580
GO:0000149,Vitvi05_01chr18g36550
GO:0000149,Vitvi05_01chr08g03100
GO:0000149,Vitvi05_01chr13g16590
GO:0000271,Vitvi05_01chr02g03220
GO:0000271,Vitvi05_01chr07g07080
GO:0000271,Vitvi05_01chr07g07090
GO:0000271,Vitvi05_01chr18g14850
GO:0000271,Vitvi05_01chr07g05910
GO:0000271,Vitvi05_01chr03g05100
GO:0000271,Vitvi05_01chr02g02050
GO:0000271,Vitvi05_01chr18g00340
GO:0000271,Vitvi05_01chr07g10600
GO:0000271,Vitvi05_01chr07g26130
GO:0000271,Vitvi05_01chr08g21990
GO:0000271,Vitvi05_01chr18g00190
GO:0000271,Vitvi05_01chr10g04140
GO:0000271,Vitvi05_01chr08g01590
GO:0000271,Vitvi05_01chr14g28050
GO:0000271,Vitvi05_01chr07g30240
GO:0000271,Vitvi05_01chr17g09430
GO:0000271,Vitvi05_01chr07g27610
GO:0000271,Vitvi05_01chr01g01920
GO:0000271,Vitvi05_01chr07g17070
GO:0000271,Vitvi05_01chr12g02400
GO:0000271,Vitvi05_01chr07g10220
GO:0000271,Vitvi05_01chr10g04070
GO:0000271,Vitvi05_01chr13g10180
GO:0000271,Vitvi05_01chr04g23880
GO:0000271,Vitvi05_01chr02g01800
GO:0000271,Vitvi05_01chr18g24350
GO:0000271,Vitvi05_01chr11g10570
GO:0000271,Vitvi05_01chr01g06900
GO:0000271,Vitvi05_01chr12g06750
GO:0000271,Vitvi05_01chr04g17230
GO:0000271,Vitvi05_01chr05g09910
GO:0000271,Vitvi05_01chr18g25890
GO:0000271,Vitvi05_01chr08g11910
GO:0000271,Vitvi05_01chr17g09260
GO:0000271,Vitvi05_01chr05g26600
GO:0001134,Vitvi05_01chr15g16380
GO:0001134,Vitvi05_01chr14g18560
GO:0001134,Vitvi05_01chr08g01700
GO:0001134,Vitvi05_01chr08g13830
GO:0001134,Vitvi05_01chr08g15170
GO:0001134,Vitvi05_01chr18g11000
GO:0001134,Vitvi05_01chr19g21610
GO:0001134,Vitvi05_01chr10g06790
GO:0001134,Vitvi05_01chr17g04680
GO:0001134,Vitvi05_01chr08g19780
GO:0001134,Vitvi05_01chr12g09730
GO:0001134,Vitvi05_01chr05g02500
GO:0001134,Vitvi05_01chr18g09130
GO:0001134,Vitvi05_01chr10g00410
GO:0001134,Vitvi05_01chr17g03470
GO:0001134,Vitvi05_01chr14g24710
GO:0001134,Vitvi05_01chr09g01640
GO:0001134,Vitvi05_01chr18g28000
GO:0001134,Vitvi05_01chr01g14450
GO:0001134,Vitvi05_01chr12g09740
GO:0001134,Vitvi05_01chr13g26550
GO:0001134,Vitvi05_01chr15g14770
GO:0001134,Vitvi05_01chr10g06660
GO:0001134,Vitvi05_01chr06g03280
GO:0001134,Vitvi05_01chr07g06160
GO:0001134,Vitvi05_01chr17g02210
GO:0001134,Vitvi05_01chr16g15050
GO:0001134,Vitvi05_01chr05g01270
GO:0001134,Vitvi05_01chr07g32150
GO:0001134,Vitvi05_01chr16g01660
GO:0001134,Vitvi05_01chr19g05160
GO:0001134,Vitvi05_01chr19g22720
GO:0001134,Vitvi05_01chr02g02520
GO:0001134,Vitvi05_01chr14g12920
GO:0001134,Vitvi05_01chr06g06210
GO:0001135,Vitvi05_01chr15g16380
GO:0001135,Vitvi05_01chr14g18560
GO:0001135,Vitvi05_01chr08g01700
GO:0001135,Vitvi05_01chr08g13830
GO:0001135,Vitvi05_01chr08g15170
GO:0001135,Vitvi05_01chr18g11000
GO:0001135,Vitvi05_01chr19g21610
GO:0001135,Vitvi05_01chr10g06790
GO:0001135,Vitvi05_01chr17g04680
GO:0001135,Vitvi05_01chr08g19780
GO:0001135,Vitvi05_01chr12g09730
GO:0001135,Vitvi05_01chr05g02500
GO:0001135,Vitvi05_01chr18g09130
GO:0001135,Vitvi05_01chr10g00410
GO:0001135,Vitvi05_01chr17g03470
GO:0001135,Vitvi05_01chr14g24710
GO:0001135,Vitvi05_01chr09g01640
GO:0001135,Vitvi05_01chr18g28000
GO:0001135,Vitvi05_01chr01g14450
GO:0001135,Vitvi05_01chr12g09740
GO:0001135,Vitvi05_01chr13g26550
GO:0001135,Vitvi05_01chr15g14770
GO:0001135,Vitvi05_01chr10g06660
GO:0001135,Vitvi05_01chr06g03280
GO:0001135,Vitvi05_01chr07g06160
GO:0001135,Vitvi05_01chr17g02210
GO:0001135,Vitvi05_01chr16g15050
GO:0001135,Vitvi05_01chr05g01270
GO:0001135,Vitvi05_01chr07g32150
GO:0001135,Vitvi05_01chr16g01660
GO:0001135,Vitvi05_01chr19g05160
GO:0001135,Vitvi05_01chr19g22720
GO:0001135,Vitvi05_01chr02g02520
GO:0001135,Vitvi05_01chr14g12920
GO:0001135,Vitvi05_01chr06g06210
GO:0002181,Vitvi05_01chr08g15360
GO:0002181,Vitvi05_01chr16g11350
GO:0002181,Vitvi05_01chr04g07540
GO:0002181,Vitvi05_01chr16g15720
GO:0002181,Vitvi05_01chr13g06650
GO:0002181,Vitvi05_01chr14g02740
GO:0002181,Vitvi05_01chr12g09100
GO:0002181,Vitvi05_01chr06g10290
GO:0002181,Vitvi05_01chr05g08110
GO:0002181,Vitvi05_01chr09g01930
GO:0002181,Vitvi05_01chr13g26440
GO:0002181,Vitvi05_01chr08g17260
GO:0002181,Vitvi05_01chr11g00930
GO:0002181,Vitvi05_01chr07g26360
GO:0002181,Vitvi05_01chr14g17590
GO:0002181,Vitvi05_01chr19g06590
GO:0002181,Vitvi05_01chr14g07630
GO:0002181,Vitvi05_01chr01g24850
GO:0002181,Vitvi05_01chr08g13030
GO:0002181,Vitvi05_01chr09g00970
GO:0002181,Vitvi05_01chr07g29070
GO:0002181,Vitvi05_01chr13g27130
GO:0002181,Vitvi05_01chr04g20030
GO:0002181,Vitvi05_01chr07g06310
GO:0002181,Vitvi05_01chr17g04650
GO:0002181,Vitvi05_01chr14g00230
GO:0002181,Vitvi05_01chr19g15420
GO:0002181,Vitvi05_01chr13g21780
GO:0002181,Vitvi05_01chr13g01340
GO:0002252,Vitvi05_01chr09g16540
GO:0002252,Vitvi05_01chr18g32290
GO:0002252,Vitvi05_01chr09g00530
GO:0002252,Vitvi05_01chr10g06120
GO:0002252,Vitvi05_01chr13g14520
GO:0002252,Vitvi05_01chr02g15760
GO:0002252,Vitvi05_01chr12g17620
GO:0002252,Vitvi05_01chr18g35140
GO:0002252,Vitvi05_01chr08g01070
GO:0002252,Vitvi05_01chr12g17050
GO:0002252,Vitvi05_01chr13g00540
GO:0002252,Vitvi05_01chr07g30630
GO:0002252,Vitvi05_01chr17g05570
GO:0002252,Vitvi05_01chr05g10970
GO:0002252,Vitvi05_01chr10g15640
GO:0002252,Vitvi05_01chr09g05490
GO:0002252,Vitvi05_01chr15g02520
GO:0002252,Vitvi05_01chr13g00570
GO:0002252,Vitvi05_01chr18g31220
GO:0002252,Vitvi05_01chr18g31260
GO:0002252,Vitvi05_01chr13g13120
GO:0002252,Vitvi05_01chr12g17270
GO:0002252,Vitvi05_01chr18g32490
GO:0002252,Vitvi05_01chr16g04460
GO:0002252,Vitvi05_01chr13g13070
GO:0002252,Vitvi05_01chr11g09020
GO:0002252,Vitvi05_01chr16g08890
GO:0002252,Vitvi05_01chr09g20830
GO:0002252,Vitvi05_01chr03g17400
GO:0002252,Vitvi05_01chr18g34990
GO:0002252,Vitvi05_01chr10g06250
GO:0002252,Vitvi05_01chr14g22110
GO:0002252,Vitvi05_01chr05g19050
GO:0002252,Vitvi05_01chr05g04330
GO:0002252,Vitvi05_01chr09g06120
GO:0002252,Vitvi05_01chr17g17700
GO:0002252,Vitvi05_01chr07g24320
GO:0002252,Vitvi05_01chr11g09290
GO:0002252,Vitvi05_01chr09g13610
GO:0002252,Vitvi05_01chr01g03880
GO:0002252,Vitvi05_01chr04g07950
GO:0002252,Vitvi05_01chr14g12080
GO:0002252,Vitvi05_01chr12g17290
GO:0002252,Vitvi05_01chr11g09380
GO:0002252,Vitvi05_01chr04g07310
GO:0002252,Vitvi05_01chr19g00920
GO:0002252,Vitvi05_01chr07g28730
GO:0002252,Vitvi05_01chr12g05090
GO:0002252,Vitvi05_01chr18g31300
GO:0002252,Vitvi05_01chr06g14620
GO:0002252,Vitvi05_01chr15g05800
GO:0002252,Vitvi05_01chr18g07320
GO:0002252,Vitvi05_01chr10g13050
GO:0002252,Vitvi05_01chr04g24180
GO:0002252,Vitvi05_01chr13g20260
GO:0002252,Vitvi05_01chr04g07920
GO:0002252,Vitvi05_01chr18g35710
GO:0002252,Vitvi05_01chr11g06440
GO:0002252,Vitvi05_01chr07g16730
GO:0002252,Vitvi05_01chr10g06220
GO:0002252,Vitvi05_01chr09g18040
GO:0002252,Vitvi05_01chr03g12100
GO:0002252,Vitvi05_01chr01g16920
GO:0002252,Vitvi05_01chr15g00360
GO:0002252,Vitvi05_01chr09g14230
GO:0002252,Vitvi05_01chr18g14980
GO:0002252,Vitvi05_01chr09g00520
GO:0002252,Vitvi05_01chr04g19360
GO:0002376,Vitvi05_01chr05g26060
GO:0002376,Vitvi05_01chr09g16540
GO:0002376,Vitvi05_01chr18g32290
GO:0002376,Vitvi05_01chr05g23690
GO:0002376,Vitvi05_01chr07g14380
GO:0002376,Vitvi05_01chr09g00530
GO:0002376,Vitvi05_01chr10g23050
GO:0002376,Vitvi05_01chr09g05370
GO:0002376,Vitvi05_01chr14g01770
GO:0002376,Vitvi05_01chr10g11490
GO:0002376,Vitvi05_01chr18g00280
GO:0002376,Vitvi05_01chr18g05250
GO:0002376,Vitvi05_01chr10g06120
GO:0002376,Vitvi05_01chr13g14520
GO:0002376,Vitvi05_01chr02g15760
GO:0002376,Vitvi05_01chr12g17620
GO:0002376,Vitvi05_01chr18g35140
GO:0002376,Vitvi05_01chr08g01070
GO:0002376,Vitvi05_01chr12g17050
GO:0002376,Vitvi05_01chr05g15260
GO:0002376,Vitvi05_01chr17g11170
GO:0002376,Vitvi05_01chr13g00540
GO:0002376,Vitvi05_01chr09g15640
GO:0002376,Vitvi05_01chr10g10170
GO:0002376,Vitvi05_01chr07g30630
GO:0002376,Vitvi05_01chr17g05570
GO:0002376,Vitvi05_01chr05g10970
GO:0002376,Vitvi05_01chr10g15640
GO:0002376,Vitvi05_01chr07g25110
GO:0002376,Vitvi05_01chr09g05490
GO:0002376,Vitvi05_01chr14g27190
GO:0002376,Vitvi05_01chr03g09250
GO:0002376,Vitvi05_01chr09g04070
GO:0002376,Vitvi05_01chr15g02520
GO:0002376,Vitvi05_01chr14g30070
GO:0002376,Vitvi05_01chr12g19460
GO:0002376,Vitvi05_01chr06g14780
GO:0002376,Vitvi05_01chr18g07480
GO:0002376,Vitvi05_01chr19g09310
GO:0002376,Vitvi05_01chr13g00570
GO:0002376,Vitvi05_01chr05g23730
GO:0002376,Vitvi05_01chr00g08780
GO:0002376,Vitvi05_01chr18g31220
GO:0002376,Vitvi05_01chr07g14850
GO:0002376,Vitvi05_01chr07g18860
GO:0002376,Vitvi05_01chr10g11540
GO:0002376,Vitvi05_01chr18g31260
GO:0002376,Vitvi05_01chr17g08170
GO:0002376,Vitvi05_01chr13g13120
GO:0002376,Vitvi05_01chr12g17270
GO:0002376,Vitvi05_01chr18g32490
GO:0002376,Vitvi05_01chr16g14800
GO:0002376,Vitvi05_01chr16g04460
GO:0002376,Vitvi05_01chr05g24210
GO:0002376,Vitvi05_01chr05g24150
GO:0002376,Vitvi05_01chr13g13070
GO:0002376,Vitvi05_01chr07g14410
GO:0002376,Vitvi05_01chr06g12660
GO:0002376,Vitvi05_01chr11g09020
GO:0002376,Vitvi05_01chr15g13580
GO:0002376,Vitvi05_01chr18g05150
GO:0002376,Vitvi05_01chr16g08890
GO:0002376,Vitvi05_01chr05g15370
GO:0002376,Vitvi05_01chr10g11520
GO:0002376,Vitvi05_01chr09g20830
GO:0002376,Vitvi05_01chr03g17400
GO:0002376,Vitvi05_01chr10g11140
GO:0002376,Vitvi05_01chr18g34990
GO:0002376,Vitvi05_01chr07g15040
GO:0002376,Vitvi05_01chr07g26890
GO:0002376,Vitvi05_01chr03g17630
GO:0002376,Vitvi05_01chr08g10730
GO:0002376,Vitvi05_01chr15g10620
GO:0002376,Vitvi05_01chr01g21530
GO:0002376,Vitvi05_01chr10g06250
GO:0002376,Vitvi05_01chr11g08430
GO:0002376,Vitvi05_01chr19g05890
GO:0002376,Vitvi05_01chr01g16690
GO:0002376,Vitvi05_01chr06g01440
GO:0002376,Vitvi05_01chr05g09060
GO:0002376,Vitvi05_01chr14g22110
GO:0002376,Vitvi05_01chr05g19050
GO:0002376,Vitvi05_01chr19g01100
GO:0002376,Vitvi05_01chr05g04330
GO:0002376,Vitvi05_01chr09g06120
GO:0002376,Vitvi05_01chr09g15130
GO:0002376,Vitvi05_01chr17g17700
GO:0002376,Vitvi05_01chr07g24320
GO:0002376,Vitvi05_01chr14g04580
GO:0002376,Vitvi05_01chr13g02950
GO:0002376,Vitvi05_01chr09g04160
GO:0002376,Vitvi05_01chr17g10850
GO:0002376,Vitvi05_01chr06g04450
GO:0002376,Vitvi05_01chr11g09290
GO:0002376,Vitvi05_01chr09g13610
GO:0002376,Vitvi05_01chr01g03880
GO:0002376,Vitvi05_01chr15g01730
GO:0002376,Vitvi05_01chr12g14500
GO:0002376,Vitvi05_01chr18g00270
GO:0002376,Vitvi05_01chr04g07950
GO:0002376,Vitvi05_01chr07g24860
GO:0002376,Vitvi05_01chr14g12080
GO:0002376,Vitvi05_01chr12g17290
GO:0002376,Vitvi05_01chr04g02300
GO:0002376,Vitvi05_01chr11g09380
GO:0002376,Vitvi05_01chr17g10900
GO:0002376,Vitvi05_01chr04g07310
GO:0002376,Vitvi05_01chr19g00920
GO:0002376,Vitvi05_01chr19g21550
GO:0002376,Vitvi05_01chr07g28730
GO:0002376,Vitvi05_01chr12g05090
GO:0002376,Vitvi05_01chr12g14170
GO:0002376,Vitvi05_01chr18g31300
GO:0002376,Vitvi05_01chr07g30370
GO:0002376,Vitvi05_01chr03g05680
GO:0002376,Vitvi05_01chr06g14620
GO:0002376,Vitvi05_01chr15g05800
GO:0002376,Vitvi05_01chr06g14760
GO:0002376,Vitvi05_01chr18g07320
GO:0002376,Vitvi05_01chr11g05790
GO:0002376,Vitvi05_01chr10g13050
GO:0002376,Vitvi05_01chr13g20520
GO:0002376,Vitvi05_01chr07g24850
GO:0002376,Vitvi05_01chr04g24180
GO:0002376,Vitvi05_01chr13g20260
GO:0002376,Vitvi05_01chr04g07920
GO:0002376,Vitvi05_01chr07g02390
GO:0002376,Vitvi05_01chr03g04740
GO:0002376,Vitvi05_01chr18g01220
GO:0002376,Vitvi05_01chr18g35710
GO:0002376,Vitvi05_01chr11g06440
GO:0002376,Vitvi05_01chr07g16730
GO:0002376,Vitvi05_01chr10g06220
GO:0002376,Vitvi05_01chr09g18040
GO:0002376,Vitvi05_01chr07g09780
GO:0002376,Vitvi05_01chr07g03740
GO:0002376,Vitvi05_01chr03g12100
GO:0002376,Vitvi05_01chr05g23740
GO:0002376,Vitvi05_01chr01g16920
GO:0002376,Vitvi05_01chr15g00360
GO:0002376,Vitvi05_01chr10g11430
GO:0002376,Vitvi05_01chr09g03910
GO:0002376,Vitvi05_01chr00g03210
GO:0002376,Vitvi05_01chr09g14230
GO:0002376,Vitvi05_01chr19g18860
GO:0002376,Vitvi05_01chr18g14980
GO:0002376,Vitvi05_01chr12g02470
GO:0002376,Vitvi05_01chr05g23870
GO:0002376,Vitvi05_01chr05g24470
GO:0002376,Vitvi05_01chr09g00520
GO:0002376,Vitvi05_01chr04g19360
GO:0002833,Vitvi05_01chr17g12700
GO:0002833,Vitvi05_01chr18g05900
GO:0002833,Vitvi05_01chr19g09310
GO:0002833,Vitvi05_01chr17g04430
GO:0002833,Vitvi05_01chr13g03250
GO:0002833,Vitvi05_01chr14g27410
GO:0002833,Vitvi05_01chr05g00820
GO:0002833,Vitvi05_01chr02g03480
GO:0002833,Vitvi05_01chr17g04410
GO:0002833,Vitvi05_01chr17g04420
GO:0002833,Vitvi05_01chr04g17140
GO:0002833,Vitvi05_01chr16g16710
GO:0003002,Vitvi05_01chr09g10950
GO:0003002,Vitvi05_01chr09g20000
GO:0003002,Vitvi05_01chr04g11170
GO:0003002,Vitvi05_01chr09g17310
GO:0003002,Vitvi05_01chr03g18340
GO:0003002,Vitvi05_01chr19g22800
GO:0003002,Vitvi05_01chr01g17480
GO:0003002,Vitvi05_01chr11g11710
GO:0003002,Vitvi05_01chr09g19310
GO:0003002,Vitvi05_01chr09g19640
GO:0003002,Vitvi05_01chr09g17350
GO:0003002,Vitvi05_01chr09g19950
GO:0003002,Vitvi05_01chr07g16170
GO:0003002,Vitvi05_01chr14g06650
GO:0003002,Vitvi05_01chr09g17280
GO:0003002,Vitvi05_01chr01g16870
GO:0003002,Vitvi05_01chr16g00010
GO:0003002,Vitvi05_01chr18g04970
GO:0003002,Vitvi05_01chr13g09880
GO:0003002,Vitvi05_01chr06g19930
GO:0003002,Vitvi05_01chr09g19660
GO:0003002,Vitvi05_01chr02g19350
GO:0003002,Vitvi05_01chr04g20680
GO:0003002,Vitvi05_01chr17g11850
GO:0003002,Vitvi05_01chr09g17580
GO:0003002,Vitvi05_01chr06g18990
GO:0003002,Vitvi05_01chr09g19320
GO:0003002,Vitvi05_01chr18g00680
GO:0003002,Vitvi05_01chr07g27760
GO:0003002,Vitvi05_01chr09g17640
GO:0003002,Vitvi05_01chr06g08660
GO:0003002,Vitvi05_01chr01g03340
GO:0003002,Vitvi05_01chr05g21300
GO:0003002,Vitvi05_01chr11g09020
GO:0003002,Vitvi05_01chr13g05580
GO:0003002,Vitvi05_01chr09g19530
GO:0003002,Vitvi05_01chr15g12720
GO:0003002,Vitvi05_01chr04g13710
GO:0003002,Vitvi05_01chr14g06640
GO:0003002,Vitvi05_01chr07g26300
GO:0003002,Vitvi05_01chr09g17420
GO:0003002,Vitvi05_01chr19g19930
GO:0003002,Vitvi05_01chr01g21530
GO:0003002,Vitvi05_01chr03g18320
GO:0003002,Vitvi05_01chr11g12880
GO:0003002,Vitvi05_01chr17g17700
GO:0003002,Vitvi05_01chr09g19790
GO:0003002,Vitvi05_01chr14g22290
GO:0003002,Vitvi05_01chr09g19940
GO:0003002,Vitvi05_01chr09g17260
GO:0003002,Vitvi05_01chr09g19360
GO:0003002,Vitvi05_01chr09g13340
GO:0003002,Vitvi05_01chr17g06690
GO:0003002,Vitvi05_01chr08g11800
