Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
8,-0.011727,0.021252,,
8,-0.001726,-0.002501,,
8,-0.002282,-0.000283,,
8,-0.002813,0.006387,,
8,0.001871,-0.001063,,
8,0.000257,0.011833,,
8,0.001829,0.031172,,
8,-0.000872,0.008428,,
8,-0.00182,0.108831,,
8,,,,
9,0.194847,0.024673,0.008639,0.006144
9,0.179335,0.02427,0.031541,0.007549
9,0.159348,0.044209,0.007372,0.005922
9,0.134033,0.03199,,
9,0.059127,0.036031,,
9,0.139228,0.037394,,
9,0.060353,0.032916,,
9,0.029647,0.090739,,
9,0.024274,0.04728,,
9,0.045125,0.031377,,
9,0.118714,0.076599,,
9,0.04535,0.101815,,
10,0.083767,0.029634,,0.000254716
10,0.088416,0.058845,,-0.002922006
10,0.09572,0.0512,,-0.00228273
10,0.063256,0.040238,,
10,0.088113,0.042829,,
10,0.082167,0.021208,,
10,0.066204,0.031309,,
10,0.083137,0.042375,,
10,0.045458,0.044871,,
10,0.062,0.075835,,
10,0.091001,0.074177,,
10,0.091144,0.050722,,
11,0.001997,-0.003179,,
11,0.003417,0.004658,,
11,0.004047,0.002393,,
11,-0.001343,0.001463,,
11,-0.001432,0.000086,,
11,0.010341,0.003465,,
11,0.00992,-0.000283,,
11,-0.004973,-0.002866,,
11,0.005327,0.001242,,
11,0.001528,0.008156,,
11,0.023532,0.009069,,
11,0.001971,0.000043,,
11,-0.001571,,,
12,0.010298,0.004608,,
12,0.003485,-0.002889,,
12,0.005171,0.000473,,
12,0.005757,-0.0076,,
12,-0.000024,-0.005348,,
12,-0.000666,-0.00283,,
12,0.000294,0.003474,,
12,0.00344,0.001086,,
12,0.0123,0.009918,,
12,0.022809,0.010433,,
12,0.0129,0.013527,,
12,0.010282,0.015602,,
13,0.03355,0.01791,,
13,0.014542,0.027393,,
13,0.020418,0.024186,,
13,0.020258,0.029548,,
13,0.027666,0.037657,,
13,0.042821,0.031741,,
13,0.026663,0.038839,,
13,0.01902,0.044347,,
13,0.03446,0.048831,,
13,0.033736,0.035171,,
13,0.056944,0.027396,,
13,0.049311,0.022255,,
,,,,
,,,,
,,,,
