pathway,gene
GO:0003774,Vitvi05_01chr08g24530
GO:0003774,Vitvi05_01chr18g09390
GO:0003774,Vitvi05_01chr17g05990
GO:0003774,Vitvi05_01chr05g11520
GO:0003774,Vitvi05_01chr05g16600
GO:0003774,Vitvi05_01chr16g15820
GO:0003774,Vitvi05_01chr18g07760
GO:0003774,Vitvi05_01chr08g17330
GO:0003774,Vitvi05_01chr08g13770
GO:0003774,Vitvi05_01chr14g04100
GO:0003774,Vitvi05_01chr06g13880
GO:0003774,Vitvi05_01chr14g04090
GO:0003774,Vitvi05_01chr11g00490
GO:0003774,Vitvi05_01chr10g05360
GO:0003774,Vitvi05_01chr08g12190
GO:0003774,Vitvi05_01chr19g09790
GO:0003774,Vitvi05_01chr07g05800
GO:0003774,Vitvi05_01chr19g11510
GO:0003774,Vitvi05_01chr18g36430
GO:0003774,Vitvi05_01chr03g07320
GO:0003774,Vitvi05_01chr05g03800
GO:0003774,Vitvi05_01chr19g06940
GO:0003774,Vitvi05_01chr18g36390
GO:0003774,Vitvi05_01chr18g17170
GO:0003774,Vitvi05_01chr07g24640
GO:0003777,Vitvi05_01chr08g24530
GO:0003777,Vitvi05_01chr18g09390
GO:0003777,Vitvi05_01chr17g05990
GO:0003777,Vitvi05_01chr05g11520
GO:0003777,Vitvi05_01chr05g16600
GO:0003777,Vitvi05_01chr16g15820
GO:0003777,Vitvi05_01chr18g07760
GO:0003777,Vitvi05_01chr08g17330
GO:0003777,Vitvi05_01chr08g13770
GO:0003777,Vitvi05_01chr14g04100
GO:0003777,Vitvi05_01chr06g13880
GO:0003777,Vitvi05_01chr14g04090
GO:0003777,Vitvi05_01chr11g00490
GO:0003777,Vitvi05_01chr10g05360
GO:0003777,Vitvi05_01chr08g12190
GO:0003777,Vitvi05_01chr19g09790
GO:0003777,Vitvi05_01chr07g05800
GO:0003777,Vitvi05_01chr19g11510
GO:0003777,Vitvi05_01chr18g36430
GO:0003777,Vitvi05_01chr03g07320
GO:0003777,Vitvi05_01chr05g03800
GO:0003777,Vitvi05_01chr19g06940
GO:0003777,Vitvi05_01chr18g36390
GO:0003777,Vitvi05_01chr18g17170
GO:0003777,Vitvi05_01chr07g24640
GO:0005516,Vitvi05_01chr19g05880
GO:0005516,Vitvi05_01chr04g23560
GO:0005516,Vitvi05_01chr04g23540
GO:0005516,Vitvi05_01chr07g01480
GO:0005516,Vitvi05_01chr18g19070
GO:0005516,Vitvi05_01chr19g05710
GO:0005516,Vitvi05_01chr09g05370
GO:0005516,Vitvi05_01chr19g08410
GO:0005516,Vitvi05_01chr08g02190
GO:0005516,Vitvi05_01chr18g02400
GO:0005516,Vitvi05_01chr09g11630
GO:0005516,Vitvi05_01chr11g09310
GO:0005516,Vitvi05_01chr08g08250
GO:0005516,Vitvi05_01chr01g07890
GO:0005516,Vitvi05_01chr12g02410
GO:0005516,Vitvi05_01chr04g23530
GO:0005516,Vitvi05_01chr19g05670
GO:0005516,Vitvi05_01chr12g02390
GO:0005516,Vitvi05_01chr06g02200
GO:0005516,Vitvi05_01chr10g06120
GO:0005516,Vitvi05_01chr10g25770
GO:0005516,Vitvi05_01chr07g22860
GO:0005516,Vitvi05_01chr11g12290
GO:0005516,Vitvi05_01chr02g00730
GO:0005516,Vitvi05_01chr16g17440
GO:0005516,Vitvi05_01chr19g05740
GO:0005516,Vitvi05_01chr01g18810
GO:0005516,Vitvi05_01chr07g14760
GO:0005516,Vitvi05_01chr07g01370
GO:0005516,Vitvi05_01chr05g10960
GO:0005516,Vitvi05_01chr19g05790
GO:0005516,Vitvi05_01chr04g15580
GO:0005516,Vitvi05_01chr11g09320
GO:0005516,Vitvi05_01chr12g03250
GO:0005516,Vitvi05_01chr16g17390
GO:0005516,Vitvi05_01chr06g08660
GO:0005516,Vitvi05_01chr08g05730
GO:0005516,Vitvi05_01chr19g13980
GO:0005516,Vitvi05_01chr12g04810
GO:0005516,Vitvi05_01chr19g05900
GO:0005516,Vitvi05_01chr14g01770
GO:0005516,Vitvi05_01chr12g02380
GO:0005516,Vitvi05_01chr19g05780
GO:0005516,Vitvi05_01chr18g20380
GO:0005516,Vitvi05_01chr07g01360
GO:0005516,Vitvi05_01chr08g23870
GO:0005516,Vitvi05_01chr14g09270
GO:0005516,Vitvi05_01chr14g24620
GO:0005516,Vitvi05_01chr10g06260
GO:0005516,Vitvi05_01chr07g01570
GO:0005516,Vitvi05_01chr07g01620
GO:0005516,Vitvi05_01chr04g24200
GO:0005516,Vitvi05_01chr07g01490
GO:0005516,Vitvi05_01chr19g17960
GO:0005516,Vitvi05_01chr07g14840
GO:0005516,Vitvi05_01chr19g13990
GO:0005618,Vitvi05_01chr18g23950
GO:0005618,Vitvi05_01chr10g02130
GO:0005618,Vitvi05_01chr09g02750
GO:0005618,Vitvi05_01chr10g17390
GO:0005618,Vitvi05_01chr18g07480
GO:0005618,Vitvi05_01chr09g01080
GO:0005618,Vitvi05_01chr04g11930
GO:0005618,Vitvi05_01chr07g26800
GO:0005618,Vitvi05_01chr05g01580
GO:0005618,Vitvi05_01chr17g17710
GO:0005618,Vitvi05_01chr07g27480
GO:0005618,Vitvi05_01chr03g00190
GO:0005618,Vitvi05_01chr05g06470
GO:0005618,Vitvi05_01chr03g00220
GO:0005618,Vitvi05_01chr08g23110
GO:0005618,Vitvi05_01chr07g03060
