"Week,Control,StimBue+"
"1,17,37"
"1,39,37"
"1,24,23"
"1,38,"
"2,27,18"
"2,10,8"
"2,19,14"
"2,5,"
"3,9,6"
"3,25,11"
"3,-4,10"
"3,11,"
"4,20,22"
"4,-35,14"
"4,33,-2"
"4,24,"
"5,-7,18"
"5,27,-27"
"5,-9,-2"
"5,14,"
"6,6,39"
"6,0,19"
"6,-9,18"
"6,7,"
"7,70,7"
"7,5,33"
"7,39,41"
"7,0,"
"8,29,8"
"8,24,47"
"8,22,35"
"8,4,"
"9,18,3"
"9,-10,15"
"9,24,23"
"9,20,"
"10,17,12"
"10,40,7"
"10,9,14"
"10,24,"
"11,-35,-4"
"11,19,-6"
"11,-4,-12"
"11,-6,"
"12,36,38"
"12,16,-6"
"12,23,21"
"12,26,"


