Week,Control,StimBlue+,StimBlue+ NaCl,NaCl
10,,0.545312,0.408886,0.724946
10,,0.26935,0.270054,0.507954
10,0.428372,0.329576,0.463554,0.526216
10,0.675136,0.324214,0.419255,0.460268
10,0.325527,0.40775,,0.636477
10,0.624861,0.735805,,0.587002
10,0.629641,0.740501,,0.665373
10,0.671428,0.725062,,0.597844
11,0.147371,0.173144,0.548912,0.522576
11,0.095382,0.227512,0.563695,0.341937
11,0.095588,0.12588,0.436705,0.499389
11,,0.118166,0.354575,0.370305
11,,0.146138,0.479938,0.574332
11,,0.092876,0.297968,0.588008
11,,0.153447,0.194007,0.381127
11,0.127056,0.19276,0.430175,0.43921
11,0.110852,0.198165,0.403793,0.371366
11,0.275945,0.430118,0.371434,0.120315
11,0.053058,0.440478,0.582181,0.153879
11,0.085676,0.373283,0.569697,0.101788
11,0.115206,0.147256,,
12,0.230079,0.173353,0.583201,0.332624
12,0.24609,0.268864,0.526985,0.428012
12,0.104829,0.102204,0.528496,0.56505
12,,0.166336,0.407226,0.268753
12,,0.15262,0.339024,0.33049
12,,0.284385,0.429175,0.43818
12,0.399008,0.333675,0.4973,0.508969
12,0.312215,0.292035,0.31998,0.393604
12,0.405228,0.456267,0.36906,0.441597
12,0.276037,0.649543,0.573937,0.131672
12,0.086577,0.676477,0.540609,0.314366
12,0.160757,0.557016,0.55923,0.161528
13,0.714882,0.68923,0.69503,0.689776
13,0.58592,0.632654,0.688547,0.709075
13,0.682558,0.542859,0.688992,0.712765
13,,0.683716,0.65075,0.658127
13,,0.595561,0.650949,0.734955
13,,0.674298,0.655844,0.719111
13,0.672193,0.592129,0.620121,0.71051
13,0.619101,0.694064,0.674777,0.702353
13,0.645291,0.662221,0.676719,0.632059
13,0.740863,0.646142,0.645856,0.693318
13,0.701796,0.525287,0.675605,0.715371
13,0.681394,,0.717932,0.685827
13,,,,0.72367
13,,,,0.694195
13,,,,0.407116
,,,,
