Week;Control;StimBlue+;StimBlue+ + NaCl;NaCl
7;6.048866;5.451715;4.936866517;5.802745855
7;5.887596;5.796687;4.990694233;5.509384651
7;;6.025582;5.990942061;5.673507032
7;;5.844213;5.745895817;5.776730166
7;;5.721779;5.97212207;5.609479426
7;6.011689;5.80257;6.116678372;5.804089048
7;5.858012;5.950669;5.721334016;6.039917061
7;5.981083;5.974432;5.228262027;5.609832003
7;5.920629;5.296538;6.448958869;5.555461172
7;6.716294;5.184042;6.30207281;5.253329732
7;5.986505;5.272754;6.233039384;6.013832261
7;;;;5.731342037
7;;;;5.967420022
8;3.629832;4.226329;3.852918729;4.042423582
8;4.335722;3.808398;3.696558616;3.865672395
8;3.696562;4.493274;3.788093718;3.800671484
8;;4.576234;4.28243004;5.427526651
8;;5.284099;3.938328376;4.497432205
8;;5.527277;4.133058563;4.331065842
8;4.667704;5.812382;3.811388892;4.829008233
8;6.0472;5.279377;4.880996245;5.100429313
8;6.25712;5.911081;4.624555029;5.861782882
8;6.962017;4.387544;4.219347454;5.566552705
8;5.632717;4.52626;4.081706271;5.543017705
8;6.111424;3.664205;4.942391167;5.636156224
8;;;4.68840305;
9;2.295502;3.504786;3.005015;3.569283
9;2.403285;3.703045;2.609662;3.007066
9;2.600685;3.224467;3.144594;3.46054
9;;4.170928;2.432543;3.597958
9;;3.298378;2.742935;2.955869
9;;4.350408;3.106114;3.503926
9;2.83393;4.428591;3.084625;3.165648
9;4.323626;3.752725;3.5698;3.549349
9;4.319765;3.799362;3.556875;2.869605
9;4.997391;3.789331;3.204353;4.198351
9;3.91403;3.326663;3.150246;4.28829
9;4.728588;2.775889;2.900779;3.849242
10;1.732291;2.410758;1.883963295;2.567573916
10;1.809033;2.191182;1.587024971;2.190037484
10;2.026814;2.207918;1.594769169;2.153885074
10;;2.624166;2.379421227;2.035455981
10;;2.372388;2.161626302;1.77935284
10;;2.689993;2.478550404;2.099289451
10;2.536046;2.910794;2.388350709;2.199503636
10;2.145509;2.81674;2.492445131;2.212855328
10;3.187052;2.853151;;1.916474185
10;2.493316;1.995308;;2.79028592
10;2.182039;1.918539;;2.347569993
10;2.172365;2.072348;;2.44266292
11;5.075286;5.17648;3.219463;4.160089
11;5.208775;5.201902;3.380818;4.759103
11;5.216222;5.220692;3.71009;4.332288
11;;6.140539;5.136697;5.611096
11;;5.692758;4.756564;4.901221
11;;6.892847;5.877552;4.936585
11;;6.152945;6.314761;5.750713
11;6.517392;6.201537;5.46397;5.181693
11;7.015083;5.862434;6.211278;5.887033
11;6.209188;5.275173;5.147974;6.499928
11;7.66554;5.464647;4.889158;6.476588
11;8.262859;5.599714;4.902557;6.359492
11;7.191211;;;
12;4.183627;4.857804;2.952087365;3.464606611
12;4.045791;4.499483;2.770511897;3.910055252
12;4.595286;3.860224;3.357158892;3.52549843
12;;5.288931;4.129184717;4.854199238
12;;4.972994;4.060283995;4.973379843
12;;5.012674;4.098594492;4.129886235
12;5.01304;4.888375;4.559397408;4.435841614
12;4.627602;4.842346;5.07727324;5.104846498
12;4.927217;4.879681;4.54775332;4.592715843
12;5.092053;4.756133;4.390232991;5.941048171
12;6.885893;4.313388;4.35770582;5.222996709
12;6.037334;4.414596;4.029531946;5.299231541
13;1.623323;1.566454;1.481397048;1.786460693
13;1.583366;1.578681;1.573471121;1.691240469
