final_gene,geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CytoB5,Vitvi05_01chr18g10350,175.192429449658,2.51287910412641,0.334672636759302,7.50846895778243,5.98228679083603e-14,1.1956198380164901e-9
CHS3,Vitvi05_01chr05g15660,758.556561522107,1.90906764102382,0.261119060856228,7.311100287983,2.64963676069582e-13,2.6477820149633304e-9
LDOX1,Vitvi05_01chr02g05870,1356.3899737687,2.26433248949493,0.325604570412424,6.95424049676831,3.54466468713565e-12,1.90161375214304e-8
MYBPA1,Vitvi05_01chr15g16380,68.2900029711443,2.72576820859666,0.392523981642207,6.94420808938306,3.8058916284259795e-12,1.90161375214304e-8
F3H2,Vitvi05_01chr04g20250,1002.9233407462,1.84818970164735,0.284623924539364,6.49344465556948,8.38955953366153e-11,2.79456228066266e-7
ANR1,Vitvi05_01chr10g05520,547.244263587214,1.71411722005355,0.263605709000123,6.50258003347247,7.89539903666255e-11,2.79456228066266e-7
Vitvi05_01chr12g01700,Vitvi05_01chr12g01700,194.331861392471,1.91979710217911,0.299039787421593,6.41987181281848,1.3638914356495002e-10,3.40734177911137e-7
FLS1,Vitvi05_01chr18g04560,668.866367727841,1.45186420933733,0.225627225504158,6.4347917503891,1.23642731369137e-10,3.40734177911137e-7
Vitvi05_01chr00g01830,Vitvi05_01chr00g01830,403.274998270107,-2.23451117123156,0.36040089993077,-6.20007100887039,5.6437691433989e-10,1.2532930011107801e-06
Vitvi05_01chr03g10690,Vitvi05_01chr03g10690,79.2431585825641,2.5894562037594002,0.420573273936054,6.15696803442892,7.41508081457031e-10,1.48197805160002e-6
HSP20-40,Vitvi05_01chr16g21240,199.110000434515,1.49177724556231,0.248138218544569,6.01188021060271,1.8338381465917102e-9,3.33191719979836e-6
Vitvi05_01chr00g04220,Vitvi05_01chr00g04220,157.001617793294,-2.54052541900527,0.433354168492444,-5.8624690927591,4.56034514730825e-9,7.59525484284189e-6
NAC13,Vitvi05_01chr02g11400,1899.50211657613,1.31569992383158,0.238826318600099,5.50902401185793,3.60828689338781e-8,5.54732475778837e-5
Vitvi05_01chr03g11020,Vitvi05_01chr03g11020,97.8350052269349,2.69651476715327,0.498997227327425,5.40386723508567,6.52192256508325e-8,9.31051031326813e-5
Vitvi05_01chr01g20320,Vitvi05_01chr01g20320,2550.76329609735,1.08854172601155,0.202505536448441,5.37536773118644,7.64265393545799e-8,1.0183072103604e-4
Vitvi05_01chr05g06370,Vitvi05_01chr05g06370,264.113592173824,1.83959817842153,0.344627251428941,5.33793590261342,9.40106797552332e-8,1.0853390218409e-4
Vitvi05_01chr08g17130,Vitvi05_01chr08g17130,82.9798819495922,2.15325908438026,0.403725615786301,5.33347154647728,9.63526671911925e-8,1.0853390218409e-4
Vitvi05_01chr14g00420,Vitvi05_01chr14g00420,61.7458632765178,1.86747723484349,0.350314462020189,5.33085966269889,9.77489362210424e-8,1.0853390218409e-4
Vitvi05_01chr18g11690,Vitvi05_01chr18g11690,291.744206740553,1.19052260484694,0.22417302324792,5.31073091488937,1.09186442658777e-7,1.1485264436728e-4
Vitvi05_01chr00g04500,Vitvi05_01chr00g04500,44.4349719578148,-2.53259854042175,0.485985526089488,-5.21126330819038,1.87559025863927e-7,1.8742773454582e-4
Vitvi05_01chr14g29390,Vitvi05_01chr14g29390,1282.07642563935,0.851772637663541,0.165774404536209,5.13814324983742,2.77466341232434e-7,2.6406868075578e-4
