Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,10,10,10,10
2,10,10,10,10
3,10,10,10,10
4,10,10,10,10
5,10,9,10,8
6,10,9,9,5
7,10,9,7,5
8,10,9,6,5
9,10,9,5,4
10,10,9,4,4
11,10,9,4,3
12,10,9,3,3
13,10,9,3,3
