"final_gene","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vitvi05_01chr16g13390","Vitvi05_01chr16g13390",1464.09129777749,-3.76036877495036,0.253909643780145,-14.8098698378167,1.2648500790126e-49,3.31757527224216e-45
"Vitvi05_01chr01g10920","Vitvi05_01chr01g10920",1116.31449400005,-9.94254026069145,0.722766331091456,-13.756230517375,4.67262198034278e-43,6.12791009612054e-39
"Vitvi05_01chr13g09340","Vitvi05_01chr13g09340",454.907083858651,-2.40404725870306,0.198867261108489,-12.0887030137734,1.2118467609594e-33,1.05951762310681e-29
"Vitvi05_01chr18g18720","Vitvi05_01chr18g18720",337.851726941572,7.06997394922739,0.587668634696837,12.0305449905024,2.45534612516829e-33,1.61003183792598e-29
"Vitvi05_01chr14g25600","Vitvi05_01chr14g25600",530.317507724468,-1.64816164789753,0.138090724153617,-11.9353537900493,7.74289789860097e-33,4.0617693796481e-29
"Vitvi05_01chr13g07620","Vitvi05_01chr13g07620",6368.04672150456,1.41389203452608,0.120067387764599,11.7758207357531,5.20084194297604e-32,2.27354805537198e-28
"Vitvi05_01chr06g09860","Vitvi05_01chr06g09860",242.250457727398,-3.68282922435444,0.320406124479169,-11.4942535207184,1.40994594867881e-30,5.28306746969951e-27
"Vitvi05_01chr07g18260","Vitvi05_01chr07g18260",188.480149877695,-6.75739947325703,0.589031924422883,-11.4720428436502,1.82304062668674e-30,5.9770665746708e-27
"Vitvi05_01chr18g08100","Vitvi05_01chr18g08100",613.333288477363,2.30404948232638,0.203853330020645,11.3024863616063,1.27554584394365e-29,3.71736577119977e-26
"Vitvi05_01chr05g05950","Vitvi05_01chr05g05950",171.462627380457,-3.93536599098945,0.350791043715208,-11.2185475128162,3.30656580940969e-29,8.67279146150068e-26
"Vitvi05_01chr14g23620","Vitvi05_01chr14g23620",112.913988654917,3.06456539570397,0.27993687885256,10.9473443022777,6.84243632231966e-28,1.63154783907384e-24
"Vitvi05_01chr01g12700","Vitvi05_01chr01g12700",180.057609471018,-3.06863031062019,0.282674154766789,-10.8557158794792,1.87333089329061e-27,4.09463300000995e-24
"Vitvi05_01chr08g03490","Vitvi05_01chr08g03490",674.459041776915,1.09827964867616,0.101367175722059,10.834667542554,2.35820430309475e-27,4.75794928199017e-24
"Vitvi05_01chr06g02330","Vitvi05_01chr06g02330",440.878563818084,4.60443029408481,0.426801864409557,10.7882150431902,3.91315895895305e-27,7.33130330959854e-24
"Vitvi05_01chr01g00540","Vitvi05_01chr01g00540",188.135347627865,-2.07726714157043,0.194465368599972,-10.6819386738392,1.23661778077386e-26,2.16234985146117e-23
"Vitvi05_01chr07g26130","Vitvi05_01chr07g26130",536.153765983381,-1.81362384738538,0.170628021115698,-10.6291090732138,2.18186795832115e-26,3.57676341742534e-23
"PAL5","Vitvi05_01chr13g08420",1470.18105716046,-3.51956053892979,0.345904856644355,-10.1749381985361,2.56562802234279e-24,3.95846219988407e-21
"Vitvi05_01chr06g17020","Vitvi05_01chr06g17020",296.183646626706,-2.13733231223174,0.2105690193335,-10.1502695838015,3.30449334999232e-24,4.81519755983048e-21
"Vitvi05_01chr18g01220","Vitvi05_01chr18g01220",1079.3636890571,-1.7719629483116,0.175074941356828,-10.1211683098616,4.45070853307804e-24,6.14408600600547e-21
"NAC13","Vitvi05_01chr02g11400",1250.94254682706,3.76852599523443,0.374359894844613,10.066585783177,7.76261167323995e-24,9.70294278111226e-21
"Vitvi05_01chr07g06260","Vitvi05_01chr07g06260",452.082107987579,-2.88008702995904,0.286105804543956,-10.0665103056885,7.76856908015393e-24,9.70294278111226e-21
"Vitvi05_01chr10g11690","Vitvi05_01chr10g11690",181.647827229613,-6.90304748219713,0.68653066870569,-10.0549732107546,8.73451877366971e-24,1.04135314961174e-20
"Vitvi05_01chr17g04220","Vitvi05_01chr17g04220",1445.01385877638,-2.32368352071406,0.231822412541069,-10.0235499028913,1.20109707728659e-23,1.36972066261522e-20
"Vitvi05_01chr19g05790","Vitvi05_01chr19g05790",554.137407969466,4.01208696340733,0.400440484445109,10.0191841715677,1.25534864098765e-23,1.37193914601938e-20
"SLD-1","Vitvi05_01chr04g01330",706.967991910518,-3.20484675078998,0.320468624075029,-10.0005008603889,1.51628203640267e-23,1.59082246131223e-20
"Vitvi05_01chr09g08630","Vitvi05_01chr09g08630",229.993353833266,-2.98411785907015,0.299347202112143,-9.96875146323309,2.08837487503268e-23,2.10676863835508e-20
"Vitvi05_01chr12g03790","Vitvi05_01chr12g03790",85.3573175807623,-3.95988620846445,0.402385768719935,-9.84101952974529,7.4947438862489e-23,7.28072731083046e-20
"Vitvi05_01chr18g09210","Vitvi05_01chr18g09210",888.509001505271,-4.65849053418519,0.474667290127961,-9.81422278524681,9.7788622849738e-23,9.16034924544921e-20
"Vitvi05_01chr06g03820","Vitvi05_01chr06g03820",169.254869662548,-2.49969891856684,0.255375756263776,-9.78831724333661,1.26381633701665e-22,1.14305650702103e-19
"Vitvi05_01chr18g18660","Vitvi05_01chr18g18660",153.280446232498,6.35837959218635,0.652353461113138,9.74683200321615,1.90314676479275e-22,1.61024633850803e-19
"Vitvi05_01chr12g06360","Vitvi05_01chr12g06360",420.587161712916,-1.738005874462,0.179307437209746,-9.6928822446386,3.23274431366488e-22,2.64973908134738e-19
"Vitvi05_01chr03g01010","Vitvi05_01chr03g01010",57.902072399623,-3.9578172003368,0.409901985191477,-9.65552093749433,4.65785828095839e-22,3.70215045003811e-19
"Vitvi05_01chr11g06280","Vitvi05_01chr11g06280",113.487105599728,-3.45664914385349,0.358256212263438,-9.64853930100645,4.98608628295794e-22,3.75217370697201e-19
"PrxIII20a","Vitvi05_01chr12g15470",100.335994510296,-5.28392086778203,0.547663717526601,-9.64811196850078,5.00690379900189e-22,3.75217370697201e-19
"Vitvi05_01chr08g17390","Vitvi05_01chr08g17390",97.4056839351664,-2.95382052211665,0.308677241210897,-9.56928509056655,1.07647443309968e-21,7.84301330715874e-19
