"final_gene","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vitvi05_01chr16g13390","Vitvi05_01chr16g13390",1464.09129777749,-4.18939277623814,0.257006225556511,-16.3007443386501,9.74975138342608e-60,2.55726229035883e-55
"Vitvi05_01chr07g26130","Vitvi05_01chr07g26130",536.153765983381,-2.70135325300909,0.17857804577884,-15.1270176646159,1.07455960653234e-51,1.40923119598684e-47
"Vitvi05_01chr13g09340","Vitvi05_01chr13g09340",454.907083858651,-3.03991016814391,0.206283429180354,-14.7365698748691,3.75371980392185e-49,3.28187722456888e-45
"Vitvi05_01chr01g10920","Vitvi05_01chr01g10920",1116.31449400005,-8.19581878261865,0.632213626614013,-12.9636857505168,1.96570642349965e-38,1.28896284454931e-34
"Vitvi05_01chr05g05950","Vitvi05_01chr05g05950",171.462627380457,-5.11475613941379,0.398570066442919,-12.8327653530557,1.07459005052713e-37,5.6370844870552e-34
"Vitvi05_01chr18g18720","Vitvi05_01chr18g18720",337.851726941572,7.40776873805916,0.587581606725637,12.6072168585054,1.92677675823449e-36,8.42290459862206e-33
"Vitvi05_01chr04g10230","Vitvi05_01chr04g10230",754.457833340316,3.89667440688373,0.316737202713347,12.3025472647439,8.77620968669157e-35,2.88794628681771e-31
"Vitvi05_01chr05g08630","Vitvi05_01chr05g08630",476.173123847914,-4.6188534908376,0.375447817774744,-12.3022515304877,8.8084068376765e-35,2.88794628681771e-31
"Vitvi05_01chr14g22640","Vitvi05_01chr14g22640",177.498407268375,-4.71757244150684,0.391960513412757,-12.0358359581465,2.30289423174963e-33,6.71140142272899e-30
"Vitvi05_01chr09g07030","Vitvi05_01chr09g07030",2024.23270348447,6.58061094769075,0.555895757524445,11.8378506376735,2.48746154935639e-32,6.52436289780686e-29
"Vitvi05_01chr01g06670","Vitvi05_01chr01g06670",630.865964131309,-4.87186000022542,0.413896888895231,-11.7707093987329,5.52578737372101e-32,1.31759888204844e-28
"Vitvi05_01chr19g05790","Vitvi05_01chr19g05790",554.137407969466,4.6083405816851,0.400125058100565,11.5172506404907,1.08002325783657e-30,2.36066083581628e-27
"Vitvi05_01chr06g02330","Vitvi05_01chr06g02330",440.878563818084,4.877393869749,0.426754534487286,11.4290381837625,2.99406757159147e-30,6.04087679502097e-27
"Vitvi05_01chr01g12700","Vitvi05_01chr01g12700",180.057609471018,-3.32370470706067,0.293505656723944,-11.3241589418046,9.96305308186029e-30,1.86657799488653e-26
"Vitvi05_01chr14g28670","Vitvi05_01chr14g28670",617.091679336832,-2.58115158421065,0.229512173096695,-11.2462513398938,2.41645330873829e-29,4.22541025565978e-26
"Vitvi05_01chr14g25600","Vitvi05_01chr14g25600",530.317507724468,-1.55938362873624,0.139058043587121,-11.2139045574827,3.48474260562379e-29,5.3793211074699e-26
