pathway,gene
GO:0004029,Vitvi05_01chr18g32770
GO:0004029,Vitvi05_01chr01g11950
GO:0004029,Vitvi05_01chr18g32870
GO:0004029,Vitvi05_01chr18g32850
GO:0004029,Vitvi05_01chr18g32800
GO:0004029,Vitvi05_01chr18g32860
GO:0009687,Vitvi05_01chr18g32770
GO:0009687,Vitvi05_01chr18g32870
GO:0009687,Vitvi05_01chr18g32850
GO:0009687,Vitvi05_01chr18g32800
GO:0009687,Vitvi05_01chr04g22630
GO:0009687,Vitvi05_01chr18g32860
GO:0009687,Vitvi05_01chr12g11840
GO:0010383,Vitvi05_01chr12g14500
GO:0010383,Vitvi05_01chr18g34730
GO:0010383,Vitvi05_01chr19g02180
GO:0010383,Vitvi05_01chr01g04250
GO:0010383,Vitvi05_01chr17g14750
GO:0010383,Vitvi05_01chr12g14170
GO:0010383,Vitvi05_01chr03g10180
GO:0010383,Vitvi05_01chr08g05930
GO:0010383,Vitvi05_01chr19g06990
GO:0010383,Vitvi05_01chr05g21180
GO:0010383,Vitvi05_01chr18g13560
GO:0010383,Vitvi05_01chr13g00830
GO:0010383,Vitvi05_01chr09g19180
GO:0010383,Vitvi05_01chr12g14480
GO:0010383,Vitvi05_01chr18g11980
GO:0010383,Vitvi05_01chr04g23880
GO:0010383,Vitvi05_01chr17g09260
GO:0010383,Vitvi05_01chr08g03750
GO:0010383,Vitvi05_01chr14g18860
GO:0010383,Vitvi05_01chr08g24240
GO:0010383,Vitvi05_01chr18g25340
GO:0010383,Vitvi05_01chr07g17070
GO:0010383,Vitvi05_01chr04g04190
GO:0010383,Vitvi05_01chr13g01510
GO:0010383,Vitvi05_01chr04g19190
GO:0010383,Vitvi05_01chr08g08920
GO:0010383,Vitvi05_01chr19g09630
GO:0010383,Vitvi05_01chr18g03780
GO:0010383,Vitvi05_01chr04g07390
GO:0010383,Vitvi05_01chr15g18320
GO:0010383,Vitvi05_01chr01g12860
GO:0010383,Vitvi05_01chr02g19220
GO:0010383,Vitvi05_01chr13g08920
GO:0010383,Vitvi05_01chr14g30180
GO:0010383,Vitvi05_01chr07g27610
GO:0010383,Vitvi05_01chr18g18430
GO:0019199,Vitvi05_01chr09g19710
GO:0019199,Vitvi05_01chr01g13450
GO:0019199,Vitvi05_01chr03g03900
GO:0019199,Vitvi05_01chr16g13930
GO:0019199,Vitvi05_01chr09g19330
GO:0019199,Vitvi05_01chr18g32290
GO:0019199,Vitvi05_01chr14g14730
GO:0019199,Vitvi05_01chr09g17430
GO:0019199,Vitvi05_01chr06g13670
GO:0019199,Vitvi05_01chr09g13340
GO:0019199,Vitvi05_01chr10g13100
GO:0019199,Vitvi05_01chr09g19320
GO:0019199,Vitvi05_01chr09g19310
GO:0019199,Vitvi05_01chr09g17580
GO:0019199,Vitvi05_01chr09g19360
GO:0019199,Vitvi05_01chr09g19410
GO:0019199,Vitvi05_01chr11g17760
GO:0019199,Vitvi05_01chr09g02620
GO:0019199,Vitvi05_01chr09g19390
GO:0019199,Vitvi05_01chr03g02340
